platform,classid,classname,finishnum,studynum,school,schoolshort
www.icourse163.org,1001530002,经济数学—概率论与数理统计,,39288,武汉理工大学,WHUT
www.icourse163.org,21013,信息管理学基础,,30944,武汉大学,WHU
www.icourse163.org,234010,英语进阶读与写（上）,,9290,电子科技大学,UESTC
www.icourse163.org,1002534016,时尚与品牌,,9287,浙江理工大学,ZSTU
www.icourse163.org,1002435001,人工智能系列前沿课程,,72852,微软,MSRA
www.icourse163.org,1002660001,现代科学运算—MATLAB语言与应用,,9283,东北大学,NEU
www.icourse163.org,1001660013,数据结构,,35303,中国人民解放军陆军工程大学,PAEU
www.icourse163.org,1002606041,Matlab数学实验,,9258,东华大学,DHU
www.icourse163.org,206001,数字电子技术基础,,90061,国防科技大学,NUDT
www.icourse163.org,1002529012,财务管理,,9235,西南交通大学,SWJTU
www.icourse163.org,1002058028,C语言程序设计,,19109,吉林大学,JLU
www.icourse163.org,7001,大学计算机—计算思维导论,,236797,哈尔滨工业大学,HIT
www.icourse163.org,1002345001,运筹学,,22442,江西财经大学,JXUFE
www.icourse163.org,89003,土木工程施工基本原理,,88697,同济大学,TONGJI
www.icourse163.org,1001965017,数据库系统概论（新技术篇）,,35959,中国人民大学,RUC
www.icourse163.org,1001971011,创意学经济,,9118,台湾新竹“交通大学”,NCTU
